City,Tourist Spot 1,Tourist Spot 2,Tourist Spot 3,Breakfast Spot 1,Breakfast Spot 2,Breakfast Spot 3,Dinner Spot 1,Dinner Spot 2,Dinner Spot 3
Thiruvananthapuram,Padmanabhaswamy Temple,Kovalam Beach,Napier Museum,Arya Nivas,Indian Coffee House,Maveli Cafe,Villa Maya,Zam Zam Restaurant,Mothers Veg Plaza
Kochi,Fort Kochi,Mattancherry Palace,Cherai Beach,Kashi Art Cafe,Sri Annapoorna,Dhe Puttu,Fusion Bay,Grand Pavilion,The Rice Boat
Coimbatore,Marudhamalai Temple,VOC Park and Zoo,Dhyanalinga,Annapoorna,Shree Anandhaas,Sree Annapoorna,Hari Bhavan,RHR Restaurant,Valarmathi Biryani
Madurai,Meenakshi Amman Temple,Thirumalai Nayakkar Palace,Gandhi Memorial Museum,Murugan Idli Shop,Amma Mess,Konar Kadai,Kumar Mess,Phil’s Bistro,Amsavalli Bhavan
Trichy,Sri Ranganathaswamy Temple,Rock Fort Temple,Jambukeswarar Temple,Banana Leaf,Shri Sangeetas,Vasanta Bhavan,Meridian Restaurant,Kannappa Chettinad,Ezham Suvai
Jamshedpur,Jubilee Park,Dimna Lake,Tata Steel Zoological Park,The Blue Diamond,Novelty Restaurant,Anand Restaurant,The Yellow Chilli,Brubeck Bakery,Little Italy
Dhanbad,Topchanchi Lake,Maithon Dam,Bhatinda Falls,Mithu’s Chat Corner,Bikanervala,Annapurna Sweets,Zaika Restaurant,Spice Villa,Hotel Black Rock
Guwahati,Kamakhya Temple,Umananda Temple,Assam State Museum,Kalita Cafe,Momo Ghar,Jain Tea Stall,Paradise Restaurant,Gam’s Delicacy,Khorika
Shillong,Shillong Peak,Ward’s Lake,Don Bosco Museum,City Hut Dhaba,Bread Cafe,Cafe Shillong,La Galerie,Heritage Club,Dylan’s Cafe
Imphal,Kangla Fort,Loktak Lake,Shree Govindajee Temple,Luxmi Kitchen,Shree Shyam Sweets,Cafe Moirang,Chakluk Hotel,OK Hotel,Fire Bowl
Aizawl,Durtlang Hills,Vantawng Falls,Mizoram State Museum,Zote Bakery,David’s Kitchen,Mizo Diner,Red Rose Restaurant,Hotel Regency,Cafe Oak
Gangtok,Tsomgo Lake,Rumtek Monastery,Nathula Pass,Baker’s Cafe,Cafe Live & Loud,Taste of Tibet,Rasoi Restaurant,The Coffee Shop,Parivar Restaurant
Itanagar,Ganga Lake (Geker Sinying),Itanagar Wildlife Sanctuary,Jawaharlal Nehru Museum,Momos Corner,Bamboo Hut,City Cafe,BBQ Nation,The Royal Kitchen,Hotel Blue Pine
Agartala,Ujjayanta Palace,Neermahal,Tripura State Museum,Shankar’s Fast Food,Bikanervala,Cafe Coffee Day,Ginger Restaurant,Hotel Polo Towers,Kwai Restaurant
Panaji,Basilica of Bom Jesus,Fort Aguada,Dona Paula,Cafe Bodega,Cafe Tato,Navtara,The Black Sheep Bistro,Ritz Classic,Mum’s Kitchen
Puducherry,Auroville,Promenade Beach,Sri Aurobindo Ashram,Cafe des Arts,Surguru,Baker Street,Villa Shanti,La Maison Rose,Tanto Pizzeria
Mysore,Mysore Palace,Chamundeshwari Temple,Brindavan Gardens,Vinayaka Mylari,Hotel RRR,Dosa Point,Parklane Hotel,Green Leaf,Oyster Bay
Hubli,Unkal Lake,Chandramouleshwara Temple,Nrupatunga Hill,Basava Vana,Kamat Hotel,Shree Sagar,Gufha Restaurant,The Sigdi,Ayodhya Restaurant
Warangal,Thousand Pillar Temple,Warangal Fort,Bhadrakali Temple,Sri Geetha Bhavan,Annapurna Hotel,Balaji Grand,Eat N Enjoy,Vikrant Restaurant,Royal Dine
Tirupati,Sri Venkateswara Temple,Talakona Waterfall,Chandragiri Fort,Srivari Udupi Hotel,Mayura Restaurant,Sri Vari Bhavan,Hyderabadi Spice,Rainbow Restaurant,Hotel Bliss
Vijayawada,Kanaka Durga Temple,Bhavani Island,Undavalli Caves,Sweet Magic,Amaravathi Restaurant,Idli Factory,Barbeque Nation,Minerva Grand,The Spicy Venue
Gwalior,Gwalior Fort,Jai Vilas Palace,Tansen Tomb,SS Kachori Wala,Moti Mahal Delux,Bahadura Sweets,Silver Saloon,The Mansingh,Kwality Restaurant
Bareilly,Fun City,Trivati Nath Temple,Alakhnath Temple,Gupta Chaat House,Sharma Ji Ki Chai,Bikanervala,Tikka House,The Bamboo Shoots,Mezbaan Restaurant
Moradabad,Prem Wonderland,Sai Temple,Raza Library,Janta Sweets,Bikanervala,Cafe Coffee Day,Zaika Restaurant,Tunday Kababi,Punjabi Tadka
Meerut,Augarnath Temple,St. John’s Church,Suraj Kund,Pappu Chaat Bhandar,Bikanervala,Shivam Sweets,Cafe Bella Vista,The Yellow Chilli,Khalsa Restaurant
Kolhapur,Mahalakshmi Temple,Panhala Fort,Rankala Lake,Hotel Bawda Misal,Padma Restaurant,Komal Cafe,Opal Restaurant,Patlacha Wada,Niyaaz Restaurant
Solapur,Siddheshwar Temple,Bhuikot Fort,Great Maratha Fort,Kamat Hotel,Shreeji’s Pure Veg,Balaji Bhavan,Jagdamba Devi,Pushpvihar Restaurant,Fratelli Wines
Latur,Ausa Fort,Udgir Fort,Kharosa Caves,Shri Venkatesh Udupi,Annapurna Bhavan,Bikanervala,Sai Bhojanalay,Hotel Grand,Maratha Darbar
Amravati,Ambadevi Temple,Melghat Tiger Reserve,Chikhaldara Hill Station,Shree Krishna Misal,Anand Bhojanalay,Siddhivinayak Sweets,Gulshan Restaurant,Sankalp Restaurant,Amba Restaurant
Chhatrapati Sambhajinagar,Ajanta Caves,Ellora Caves,Bibi Ka Maqbara,Shree Gajanan Bhojanalay,Annapurna Hotel,Jai Bhawani Vada Pav,Naivedya Restaurant,Green Leaf Cafe,Swad Restaurant
Nanded,Sachkhand Gurudwara,Sahastrakund Waterfall,Kaleshwar Temple,The Cafe,Shree Balaji Udupi,Anand Stall,Guru Nanak Restaurant,Tulsi Restaurant,New Punjab Restaurant
Raigad,Raigad Fort,Murud-Janjira Fort,Diveagar Beach,Visawa Restaurant,Shree Datta Snacks,Konkan Cafe,Hotel Vinayak,Malvan Tadka,Konkan Kinara
Ratnagiri,Ganpatipule Temple,Thibaw Palace,Ratnadurg Fort,Hotel Annapurna,Kokani Katta,Sawant Snacks,Atharva Restaurant,Konkan Villa,Hotel Sea Rock
Sindhudurg,Sindhudurg Fort,Tarkarli Beach,Malvan Marine Sanctuary,Chaitanya Restaurant,Gajanan Snacks,Malvani Mess,Atithi Bamboo Restaurant,Sawant Malvani,Malvan Kinara
Satara,Kaas Plateau,Ajinkyatara Fort,Thoseghar Waterfalls,Sai Bhojanalay,Annapurna Bhavan,Manohar’s Misal,Hotel Shreeman,Maratha Samrat,Lake View Restaurant
Ahilyanagar,Shirdi Sai Baba Temple,Ahmednagar Fort,Wet N Joy Water Park,The Project Cafe,Gopi Dining Hall,Jay Bhavani,Agashiye,Gordhan Thal,Swati Snacks
Sangli,Ganpati Temple,Sangli Fort,Chandoli National Park,Krishna Bhojanalay,Sangli Sweets,Shree Datta Snacks,Hotel Ambika,Maratha Darbar,Sangli Spice
