city_id,city_name,state,state_code,district,latitude,longitude,destination_type,description,ideal_duration_days,best_time_to_visit,budget_level,is_major_destination,tourist_place_count,coverage_status,source,last_verified
CT-0032,New Delhi,Delhi,ST-09,,,,,,,,,False,1,NEEDS_EXTENSIVE_RESEARCH,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0033,Goa,Goa,ST-10,,,,,,3-7,November-February,,True,46,COMPLETE,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0034,Panaji,Goa,ST-10,North Goa ,,,,,,,,False,3,NEEDS_EXTENSIVE_RESEARCH,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0035,Ahmedabad,Gujarat,ST-11,Ahmadabad,,,Historical & Heritage,"Ahmedabad is the largest city and also the former capital of Gujarat. Situated on the banks of the River Sabarmati, it is one of the popular places of places to visit in Gujarat. It is about 29 km from Gandhinagar, and 534 km from Mumbai.Ahmedabad is India's first UNESCO World Heritage City and is also regarded as one of the fastest-growing cities in India. Also known as Amdavad, the city of Ahmed...",1-2,,,True,48,COMPLETE,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0036,Bhuj,Gujarat,ST-11,Kachchh,,,,,,,,False,1,NEEDS_EXTENSIVE_RESEARCH,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0037,Dwarka,Gujarat,ST-11,Jamnagar,,,Pilgrimage,"Dwarka is one of the most significant pilgrimage sites near Rajkot, and among the best places to visit in Gujarat. It is about 224 km from Rajkot, and 442 km from Ahmedabad.Located on the western tip of the Saurashtra peninsula in Gujarat, Dwarka is popularly known as the 'home of Lord Krishna' and is believed to have been the first capital of Gujarat. Also, Dwarka is one of the foremost Char Dham...",,,,False,1,NEEDS_EXTENSIVE_RESEARCH,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0038,Gandhinagar,Gujarat,ST-11,Gandhinagar,,,,,,,,False,1,NEEDS_EXTENSIVE_RESEARCH,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0039,Junagadh,Gujarat,ST-11,Junagadh,,,,,,,,False,1,NEEDS_EXTENSIVE_RESEARCH,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0040,Kevadia,Gujarat,ST-11,,,,,,,,,False,1,NEEDS_EXTENSIVE_RESEARCH,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0041,Rann of Kutch,Gujarat,ST-11,,,,Historical & Heritage,"With the Thar Desert on one side and the Arabian Sea on the other side, Rann of Kutch is a spellbinding marvel of sand and salt. About 80 km from Bhuj, and 413 km from Ahmedabad, it is one of the top places to visit in India, and among the must include places in Gujarat packages.It lies between the Gulf of Kutch and the Indus River in Pakistan and comprises flatlands of salty clay located about 15...",,,,False,1,NEEDS_EXTENSIVE_RESEARCH,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0042,Somnath,Gujarat,ST-11,,,,Pilgrimage,"Somnath is a temple town situated in the Gir Somnath district of Gujarat. Also known as Prabhas Patan, it is one of the most important places of pilgrimage in India, and among the prominent places to visit in Gujarat. It is about 197 km from Rajkot, and 408 km from Ahmedabad.The town of Somnath is famous for the Somnath Temple, among the must include places in Somnath packages. Dedicated to Lord S...",,,,False,1,NEEDS_EXTENSIVE_RESEARCH,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0043,Surat,Gujarat,ST-11,Surat,,,,,,,,False,3,NEEDS_EXTENSIVE_RESEARCH,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0044,Vadodara,Gujarat,ST-11,Vadodara,,,,,,,,False,3,NEEDS_EXTENSIVE_RESEARCH,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0045,Faridabad,Haryana,ST-12,Faridabad,,,,,,,,False,3,NEEDS_EXTENSIVE_RESEARCH,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0046,Gurgaon,Haryana,ST-12,Gurgaon,,,,,,,,False,3,NEEDS_EXTENSIVE_RESEARCH,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0047,Gurugram,Haryana,ST-12,,,,,,,,,False,3,NEEDS_EXTENSIVE_RESEARCH,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0048,Barot,Himachal Pradesh,ST-13,,,,,,,,,False,1,NEEDS_EXTENSIVE_RESEARCH,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0049,Bir Billing,Himachal Pradesh,ST-13,,,,,,,,,False,1,NEEDS_EXTENSIVE_RESEARCH,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0050,Chamba,Himachal Pradesh,ST-13,Chamba,,,,,,,,False,1,NEEDS_EXTENSIVE_RESEARCH,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0051,Dalhousie,Himachal Pradesh,ST-13,Chamba,,,Hill Station,"Located at an altitude of 1,970 m, Dalhousie is one of the famous hill stations in Himachal, and among the popular places to visit near Chandigarh. It is located about 319 km from Chandigarh, and 564 km from Delhi.Surrounded by snow-capped mountains, Dalhousie is located on the western edge of the Dhauladhar mountain range of the Himalayas. It is hill stations near Delhi, and among the best places...",2-3,,,True,26,COMPLETE,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0051,dalhousie,Himachal Pradesh,ST-13,Chamba,,,Hill Station,"Located at an altitude of 1,970 m, Dalhousie is one of the famous hill stations in Himachal, and among the popular places to visit near Chandigarh. It is located about 319 km from Chandigarh, and 564 km from Delhi.Surrounded by snow-capped mountains, Dalhousie is located on the western edge of the Dhauladhar mountain range of the Himalayas. It is hill stations near Delhi, and among the best places...",2-3,,,False,1,NEEDS_EXTENSIVE_RESEARCH,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0052,Kangra,Himachal Pradesh,ST-13,Kangra,,,,,,,,False,1,NEEDS_EXTENSIVE_RESEARCH,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0053,Kasauli,Himachal Pradesh,ST-13,Solan,,,,,1-2,,,True,11,COMPLETE,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0054,Kinnaur,Himachal Pradesh,ST-13,,,,,,,,,False,1,NEEDS_EXTENSIVE_RESEARCH,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0055,Kufri,Himachal Pradesh,ST-13,,,,,,,,,False,1,NEEDS_EXTENSIVE_RESEARCH,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0056,Kullu,Himachal Pradesh,ST-13,Kullu,,,Hill Station,"At a distance of 40 km from Manali, 500 km from Delhi, 215 km from Shimla and 258 km from Chandigarh, Kullu is the capital town of Kullu district in the state of Himachal Pradesh. It is located on the banks of the Beas River in Kullu Valley at an altitude of 1230 meters. Kullu Manali is one of the top summer resorts to visit as part of Himachal tour packages and among the wellknown honeymoon desti...",,,,False,1,NEEDS_EXTENSIVE_RESEARCH,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0057,Manali,Himachal Pradesh,ST-13,Kullu,,,Hill Station,"Manali is a breathtakingly beautiful hill station nestled in the mountains of Himachal Pradesh near the northern end of the Kullu Valley. About 295 km from Chandigarh, and 545 km from Delhi, it is one of the top hill stations in Himachal, and among the top places to visit near Chandigarh.Renowned for its snow-covered mountains, scenic beauty, history, and culture, Manali is located at an altitude ...",2-4,October-June,,True,50,COMPLETE,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0058,Mandi,Himachal Pradesh,ST-13,Mandi,,,,,,,,False,1,NEEDS_EXTENSIVE_RESEARCH,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0059,Manikaran,Himachal Pradesh,ST-13,,,,,,,,,False,1,NEEDS_EXTENSIVE_RESEARCH,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0060,McLeod Ganj,Himachal Pradesh,ST-13,,,,,,,,,False,1,NEEDS_EXTENSIVE_RESEARCH,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0061,Nahan,Himachal Pradesh,ST-13,Sirmaur,,,,,1-2,,,True,20,COMPLETE,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0062,Narkanda,Himachal Pradesh,ST-13,Shimla,,,,,,,,False,1,NEEDS_EXTENSIVE_RESEARCH,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0063,Palampur,Himachal Pradesh,ST-13,Kangra,,,,,,,,False,1,NEEDS_EXTENSIVE_RESEARCH,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0064,Shimla,Himachal Pradesh,ST-13,Shimla,,,Hill Station,"Often called the 'Queen of Hills', Shimla is a mesmerizing hill station in Himachal Pradesh. It is one of the top hill stations in India, and among the top Himachal tourist places. It is located about 112 km from Chandigarh, and 348 km from New Delhi.Among the top hill stations in Himachal, Shimla derives its name from 'Goddess Shyamala', an incarnation of Goddess Kali. Kali Bari Temple, Annandale...",2-4,March-June,,True,48,COMPLETE,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0065,Shoja,Himachal Pradesh,ST-13,,,,,,,,,False,1,NEEDS_EXTENSIVE_RESEARCH,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0066,Spiti Valley,Himachal Pradesh,ST-13,,,,,,,,,False,1,NEEDS_EXTENSIVE_RESEARCH,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0067,Anantnag,Jammu and Kashmir,ST-14,Anantnag,,,,,,,,False,1,NEEDS_EXTENSIVE_RESEARCH,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0068,Gulmarg,Jammu and Kashmir,ST-14,Baramula,,,,,1-2,,,True,21,COMPLETE,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0069,Jammu,Jammu and Kashmir,ST-14,Jammu,,,,,1-2,,,True,25,COMPLETE,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0070,Kishtwar,Jammu and Kashmir,ST-14,Doda,,,,,,,,False,1,NEEDS_EXTENSIVE_RESEARCH,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0071,Pahalgam,Jammu and Kashmir,ST-14,Anantnag,,,,,,,,False,1,NEEDS_EXTENSIVE_RESEARCH,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0072,Srinagar,Jammu and Kashmir,ST-14,Srinagar,,,,,3-5,April-October,,True,40,COMPLETE,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0073,Udhampur,Jammu and Kashmir,ST-14,Udhampur,,,,,,,,False,1,NEEDS_EXTENSIVE_RESEARCH,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0074,Deoghar,Jharkhand,ST-15,Deoghar,,,,,,,,False,1,NEEDS_EXTENSIVE_RESEARCH,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0075,Dhanbad,Jharkhand,ST-15,Dhanbad,,,,,,,,False,3,NEEDS_EXTENSIVE_RESEARCH,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0076,Jamshedpur,Jharkhand,ST-15,Purbi Singhbhum,,,,,,,,False,3,NEEDS_EXTENSIVE_RESEARCH,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0077,Ranchi,Jharkhand,ST-15,Ranchi,,,,,,,,False,4,NEEDS_EXTENSIVE_RESEARCH,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0078,Badami,Karnataka,ST-16,Bagalkot,,,,,,,,False,1,NEEDS_EXTENSIVE_RESEARCH,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0079,Bandipur,Karnataka,ST-16,,,,,,,,,False,1,NEEDS_EXTENSIVE_RESEARCH,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0080,Bangalore,Karnataka,ST-16,Bangalore,,,City,"Nicknamed as the Garden City of India, Bangalore, the capital city of Karnataka, is the 5th largest city in India, and among the top places to visit in Karnataka. It is one of the fastest growing industrial and commercial centers in India. It is often referred as Silicon Valley of India due to large number of software companies established in the city.Bangalore is one of the ideal places for those...",2-3,,,True,54,COMPLETE,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0081,Bengaluru,Karnataka,ST-16,,,,,,,,,False,1,NEEDS_EXTENSIVE_RESEARCH,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0082,Bijapur,Karnataka,ST-16,Bijapur,,,,,,,,False,1,NEEDS_EXTENSIVE_RESEARCH,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0083,Chikmagalur,Karnataka,ST-16,Chikmagalur,,,Hill Station,"Chikmagalur or Chikkamagaluru is a scenic hill town situated at the foothills of Mulliyangiri range with an altitude of 3,400 feet. It is one of the best hill stations in Karnataka and among the most famous tourist places near Bangalore.Chikmagalur is famous for its serene environment, lush green forests and tall mountains. Baba Budangiri, Hirekolale Lake, Mulliyangiri, Ayyanakere Lake, Manikyadha...",,,,False,1,NEEDS_EXTENSIVE_RESEARCH,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0084,Coorg,Karnataka,ST-16,,,,Hill Station,"Fondly called the Scotland of India, Coorg is one of the top hill stations in South India and among the most popular attraction not to miss in your Karnataka holiday packages. Coorg (or Kodagu) is about 265 km from Bangalore city and takes about 6 hrs drive. Coorg is the largest producer of Coffee in India. Also, it is one of the places with the highest rainfall in India. Places like Raja's Seat, ...",2-3,September-June,,True,32,COMPLETE,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0085,Gokarna,Karnataka,ST-16,,,,Pilgrimage,"Gokarna is one of the famous places of pilgrimage in Karnataka, and among the top places to visit as part of Karnataka tour packages. It is about 514 km from Bangalore.Sri Mahabaleshwar Temple which houses the Atmalinga is one of the must-visit places as part of Gokarna holiday packages. Gokarna is considered to be the Mukti Stala, where Hindus perform funeral rites. Gokarna is also home to some o...",,,,False,1,NEEDS_EXTENSIVE_RESEARCH,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0086,Halebidu,Karnataka,ST-16,,,,,,,,,False,1,NEEDS_EXTENSIVE_RESEARCH,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0087,Hampi,Karnataka,ST-16,,,,Historical & Heritage,"Hampi is a renowned UNESCO World Heritage Site situated on the banks of Tungabhadra River in northern Karnataka. Situated about 340 km from Bangalore & 377 km from Hyderabad, Hampi is one of the best heritage sites in India and among the must include places in your Karnataka tour packages. Hampi is an extremely significant place in terms of history and architecture as it stands within the ruins of...",2-4,,,True,29,COMPLETE,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0088,Madikeri,Karnataka,ST-16,Kodagu,,,,,1-2,,,True,17,COMPLETE,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0089,Mangalore,Karnataka,ST-16,Dakshina Kannada,,,,,,,,False,1,NEEDS_EXTENSIVE_RESEARCH,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0090,Murudeshwar,Karnataka,ST-16,,,,Pilgrimage,Murudeshwar is one of the most famous places to visit in Karnataka and among the popular places of pilgrimage in Karnataka. It is about 162 km from Mangalore & 497 km from Bangalore. Murudeshwar is the abode of Lord Shiva. The temple town is famous for the world's second tallest Shiva statue (123 ft) & tallest temple tower (249 feet). The sea on three sides surrounds the Murudeshwar Temple towerin...,,,,False,1,NEEDS_EXTENSIVE_RESEARCH,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0091,Mysore,Karnataka,ST-16,Mysore,,,Historical & Heritage,"Mysore, the erstwhile capital of the Mysore Maharajas, is one of the popular destinations in Karnataka and among the must-visit places as part of 2 day trip near Bangalore. It is about 139 km from Bangalore. With its dazzling royal heritage, intricate architecture, its famed silk sarees, yoga, and sandalwood, Mysore is one of the top heritage sites in India.Often called the City of Palaces, Mysore...",1-2,,,True,35,COMPLETE,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0092,Shivamogga,Karnataka,ST-16,,,,,,,,,False,1,NEEDS_EXTENSIVE_RESEARCH,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0093,,Karnataka,ST-16,Chikkaballapur,,,,,,,,True,29,COMPLETE,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0093,,Karnataka,ST-16,Hassan,,,,,,,,True,30,COMPLETE,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0093,,Karnataka,ST-16,Kalaburagi,,,,,,,,True,30,COMPLETE,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0093,,Karnataka,ST-16,Kochi,,,,,,,,True,24,COMPLETE,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0093,,Karnataka,ST-16,Mandya,,,,,,,,True,27,COMPLETE,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0093,,Karnataka,ST-16,Munnar,,,,,,,,True,30,COMPLETE,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0093,,Karnataka,ST-16,Uttar_Kannada,,,,,,,,True,30,COMPLETE,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0093,,Karnataka,ST-16,bengaluru,,,,,,,,True,19,COMPLETE,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0093,,Karnataka,ST-16,coorg,,,,,,,,True,20,COMPLETE,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0093,,Karnataka,ST-16,hampi,,,,,,,,True,20,COMPLETE,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0093,,Karnataka,ST-16,mangaluru,,,,,,,,True,20,COMPLETE,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0093,,Karnataka,ST-16,mysuru,,,,,,,,True,20,COMPLETE,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0094,Alappuzha,Kerala,ST-17,Alappuzha,,,,,,,,False,1,NEEDS_EXTENSIVE_RESEARCH,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0095,Bekal,Kerala,ST-17,,,,,,,,,False,1,NEEDS_EXTENSIVE_RESEARCH,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0096,Kannur,Kerala,ST-17,Kannur,,,,,,,,False,1,NEEDS_EXTENSIVE_RESEARCH,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0097,Kerala Backwaters,Kerala,ST-17,,,,,,,,,False,1,NEEDS_EXTENSIVE_RESEARCH,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0098,Kochi,Kerala,ST-17,Ernakulam,,,Beach,"Often referred to as 'The Queen of the Arabian Sea', Kochi or Cochin is the financial capital of Kerala. It is situated about 190 km from Coimbatore, and 204 km from Trivandrum. Kochi is one of the prime places to visit as part of Kerala tour packages. Kochi packages are admired for its scenic beauty, traditional architecture, churches, and beaches. Fort Kochi, Bolghatty Palace, Marine Drive, Mang...",1-2,,,True,48,COMPLETE,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0099,Kovalam,Kerala,ST-17,,,,Beach,"Kovalam is a coastal town on the shores of the Arabian Sea in Kerala. About13 km from Trivandrum, and 212 km from Kochi, it is one of the most famous places to visit in Kerala. It can be visited along with Trivandrum tour packages.Kovalam means 'A grove of coconut trees' and the whole area beyond the shores around Kovalam is filled with the endless sight of coconut trees offering magnificent views...",1-2,,,True,23,COMPLETE,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0100,Kozhikode,Kerala,ST-17,Kozhikode,,,,,,,,False,1,NEEDS_EXTENSIVE_RESEARCH,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
